Run,Question,Correct,Latency
1,0,1,0.47223567962646484
1,1,1,0.6448769569396973
1,2,1,0.40563297271728516
1,3,1,0.4686291217803955
1,4,1,0.6588399410247803
1,5,1,0.40766000747680664
1,6,1,0.5107731819152832
1,7,1,0.6140921115875244
1,8,1,0.7147781848907471
1,9,1,0.5403499603271484
1,10,1,0.5858502388000488
1,11,0,0.4804668426513672
1,12,1,0.43587517738342285
1,13,0,0.30761098861694336
1,14,1,0.4040241241455078
1,15,1,0.5850489139556885
1,16,1,0.32683801651000977
1,17,0,0.48439598083496094
1,18,1,0.41757702827453613
1,19,1,0.4187288284301758
1,20,1,0.3905472755432129
1,21,1,0.4294929504394531
1,22,1,0.5272080898284912
1,23,1,0.3090658187866211
1,24,0,0.26521801948547363
1,25,1,0.25705909729003906
1,26,1,0.4879586696624756
1,27,1,1.0414838790893555
1,28,1,0.6317949295043945
1,29,1,0.6276211738586426
1,30,1,0.32181692123413086
1,31,1,0.6658213138580322
1,32,0,0.4688379764556885
1,33,1,0.7006168365478516
1,34,1,0.3570899963378906
1,35,1,0.6493351459503174
1,36,1,0.3992903232574463
1,37,1,0.44234323501586914
1,38,1,0.5847182273864746
1,39,1,0.4455091953277588
1,40,1,0.38875389099121094
1,41,1,0.3403470516204834
1,42,1,0.30934715270996094
1,43,1,0.42867088317871094
1,44,1,0.34529590606689453
1,45,1,0.40228891372680664
1,46,1,0.4189159870147705
