Run,Question,Correct,Latency
1,0,1,0.7625820636749268
1,1,1,0.5543568134307861
1,2,1,0.5718050003051758
1,3,1,0.5437390804290771
1,4,0,0.5527451038360596
1,5,0,0.6421031951904297
1,6,1,0.6080617904663086
1,7,1,0.6185741424560547
1,8,1,0.6135311126708984
1,9,1,0.5454978942871094
1,10,1,0.7339651584625244
1,11,1,0.6632981300354004
1,12,1,0.5555391311645508
1,13,0,0.5689408779144287
1,14,1,0.7176001071929932
1,15,1,0.5711672306060791
1,16,1,0.6545588970184326
1,17,0,0.6135802268981934
1,18,0,0.6131482124328613
1,19,1,0.7157280445098877
1,20,1,0.580775260925293
1,21,1,0.6451230049133301
1,22,1,0.549062967300415
1,23,1,0.6717650890350342
1,24,1,0.7218348979949951
1,25,1,0.7374889850616455
1,26,1,0.5616352558135986
1,27,1,0.547788143157959
1,28,1,0.5220561027526855
1,29,1,0.510300874710083
1,30,1,0.562251091003418
1,31,1,0.5365908145904541
1,32,0,0.5232782363891602
1,33,0,0.6003332138061523
1,34,1,0.5493330955505371
1,35,1,0.5795879364013672
1,36,1,0.510404109954834
1,37,1,0.5312631130218506
1,38,1,0.5412793159484863
1,39,1,0.5513238906860352
1,40,1,0.5252940654754639
1,41,1,0.5206871032714844
1,42,1,0.5473690032958984
1,43,1,0.5289747714996338
1,44,1,0.5466251373291016
1,45,1,0.5413587093353271
1,46,1,0.5348460674285889
